Age,Annual_Income_k,Spending_Score,Cluster_Label
19,15,39,-1
21,15,81,0
20,16,6,-1
23,16,77,0
31,17,40,-1
22,17,76,0
35,18,6,-1
23,18,94,-1
64,19,3,-1
30,19,72,0
67,19,14,-1
35,19,99,-1
58,20,15,-1
24,20,77,0
37,20,13,-1
22,20,79,0
35,21,35,1
20,21,66,0
52,23,29,-1
35,23,98,-1
35,24,35,1
25,24,73,0
46,25,5,-1
31,25,73,0
54,28,14,-1
29,28,82,0
45,28,32,1
35,28,61,-1
40,29,31,1
23,29,87,0
60,30,4,-1
21,30,73,0
53,33,4,-1
18,33,92,0
49,33,14,-1
21,33,81,0
42,34,17,-1
30,34,73,0
36,37,26,1
20,37,75,0
65,38,35,-1
24,38,92,0
48,39,36,2
31,39,61,3
49,39,28,2
24,39,65,-1
50,40,55,2
27,40,47,3
29,40,42,3
31,40,42,3
49,42,52,2
33,42,60,3
31,43,54,3
59,43,60,2
50,43,45,2
47,43,41,2
51,44,50,2
69,44,46,2
27,46,51,3
53,46,46,2
70,46,56,2
19,46,55,3
67,47,52,2
54,47,59,2
63,48,51,2
18,48,59,3
43,48,50,2
68,48,48,2
19,48,59,3
32,48,47,3
70,49,55,2
47,49,42,2
60,50,49,2
60,50,56,2
59,54,47,2
26,54,54,3
45,54,53,2
40,54,48,2
23,54,52,3
49,54,42,2
57,54,51,2
38,54,55,2
67,54,41,2
46,54,44,2
21,54,57,3
48,54,46,2
55,57,58,2
22,57,55,3
34,58,60,-1
50,58,46,2
68,59,55,2
18,59,41,3
48,60,49,2
40,60,40,2
32,60,42,2
24,60,52,3
47,60,47,2
27,60,50,3
48,61,42,2
20,61,49,3
23,62,41,3
49,62,48,2
67,62,59,2
26,62,55,3
49,62,56,2
21,62,42,3
66,63,50,2
54,63,46,2
68,63,43,2
66,63,48,2
65,63,52,2
19,63,54,3
38,64,42,2
19,64,46,3
18,65,48,3
19,65,50,3
63,65,43,2
49,65,59,2
51,67,43,2
50,67,57,2
27,67,56,3
38,67,40,2
40,69,58,-1
39,69,91,4
23,70,29,-1
31,70,77,4
43,71,35,-1
40,71,95,4
59,71,11,-1
38,71,75,4
47,71,9,5
39,71,75,4
25,72,34,3
31,72,71,4
20,73,5,-1
29,73,88,4
44,73,7,5
32,73,73,4
19,74,10,-1
35,74,72,4
57,75,5,-1
32,75,93,4
28,76,40,-1
32,76,87,4
25,77,12,-1
28,77,97,4
48,77,36,-1
32,77,74,4
34,78,22,-1
34,78,90,4
43,78,17,5
39,78,88,4
44,78,20,5
38,78,76,4
47,78,16,5
27,78,89,4
37,78,1,-1
30,78,78,4
34,78,1,-1
30,78,73,4
56,79,35,-1
29,79,83,4
19,81,5,-1
31,81,93,4
50,85,26,-1
36,85,75,4
42,86,20,5
33,86,95,4
36,87,27,-1
32,87,63,-1
40,87,13,5
28,87,75,4
36,87,10,-1
36,87,92,4
52,88,13,-1
30,88,86,4
58,88,15,-1
27,88,69,4
59,93,14,-1
35,93,90,4
37,97,32,-1
32,97,86,4
46,98,15,-1
29,98,88,4
41,99,39,-1
30,99,97,4
54,101,24,-1
28,101,68,-1
41,103,17,-1
36,103,85,4
34,103,23,-1
32,103,69,-1
33,113,8,-1
38,113,91,-1
47,120,16,-1
35,120,79,-1
45,126,28,-1
32,126,74,-1
32,137,18,-1
30,137,83,-1
